transaction_id,transaction_date,customer_id,product,region,quantity,price,payment_method,revenue
1,2026-06-11,127,Mouse,Medan,1,3282399,credit_card,3282399
2,2026-06-07,150,Headset,Surabaya,2,3519168,ewallet,7038336
3,2026-06-01,83,Monitor,Surabaya,3,10637410,bank_transfer,31912230
4,2026-06-09,123,Laptop,Makassar,3,5513298,cash,16539894
5,2026-06-01,109,Keyboard,Makassar,4,4021998,bank_transfer,16087992
6,2026-06-06,193,Monitor,Surabaya,3,11635134,credit_card,34905402
7,2026-06-03,96,Laptop,Jakarta,3,5148430,bank_transfer,15445290
8,2026-06-08,25,Mouse,Surabaya,3,8756705,credit_card,26270115
9,2026-06-04,30,Mouse,Makassar,4,2880381,bank_transfer,11521524
10,2026-06-07,117,Mouse,Jakarta,2,14490086,credit_card,28980172
11,2026-06-02,197,Keyboard,Medan,5,103777,ewallet,518885
12,2026-06-06,118,Keyboard,Bandung,4,955356,cash,3821424
13,2026-06-11,42,Monitor,Makassar,4,376918,bank_transfer,1507672
14,2026-06-09,153,Mouse,Surabaya,3,14541612,bank_transfer,43624836
15,2026-06-01,48,Monitor,Medan,3,8148570,bank_transfer,24445710
16,2026-06-10,169,Headset,Surabaya,4,4666649,ewallet,18666596
17,2026-06-05,140,Headset,Surabaya,1,825598,bank_transfer,825598
18,2026-06-01,109,Mouse,Surabaya,3,12283328,bank_transfer,36849984
19,2026-06-11,200,Keyboard,Bandung,1,12651507,bank_transfer,12651507
20,2026-06-11,196,Monitor,Makassar,3,7060535,ewallet,21181605
21,2026-06-09,26,Headset,Makassar,5,13391775,bank_transfer,66958875
22,2026-06-01,151,Laptop,Bandung,4,14553921,credit_card,58215684
23,2026-06-02,50,Keyboard,Surabaya,4,13962621,cash,55850484
24,2026-06-03,67,Keyboard,Bandung,4,10549007,cash,42196028
25,2026-06-06,26,Keyboard,Bandung,5,13661554,ewallet,68307770
26,2026-06-10,33,Laptop,Makassar,3,4943592,bank_transfer,14830776
27,2026-06-07,178,Headset,Surabaya,5,571941,ewallet,2859705
28,2026-06-05,64,Laptop,Makassar,1,4841862,credit_card,4841862
29,2026-06-03,127,Monitor,Medan,4,8276211,bank_transfer,33104844
30,2026-06-01,167,Keyboard,Bandung,5,784369,credit_card,3921845
31,2026-06-05,60,Mouse,Bandung,5,11071552,cash,55357760
32,2026-06-05,15,Mouse,Bandung,4,2195421,cash,8781684
33,2026-06-11,30,Headset,Makassar,4,4473867,credit_card,17895468
34,2026-06-07,129,Keyboard,Surabaya,2,9376498,bank_transfer,18752996
35,2026-06-10,73,Mouse,Medan,1,7015217,bank_transfer,7015217
36,2026-06-01,173,Keyboard,Medan,4,674172,credit_card,2696688
37,2026-06-06,116,Headset,Jakarta,1,5891370,bank_transfer,5891370
38,2026-06-07,162,Laptop,Makassar,3,6697712,credit_card,20093136
39,2026-06-02,200,Monitor,Bandung,5,10692328,cash,53461640
40,2026-06-10,112,Mouse,Surabaya,5,1097238,ewallet,5486190
41,2026-06-08,108,Laptop,Surabaya,5,4040125,cash,20200625
42,2026-06-06,109,Mouse,Surabaya,2,12166197,cash,24332394
43,2026-06-06,49,Laptop,Surabaya,5,14207163,cash,71035815
44,2026-06-06,49,Monitor,Surabaya,1,10677465,credit_card,10677465
45,2026-06-05,114,Monitor,Surabaya,4,14284966,bank_transfer,57139864
46,2026-06-04,179,Headset,Surabaya,2,3838998,bank_transfer,7677996
47,2026-06-01,103,Keyboard,Makassar,2,9626282,ewallet,19252564
48,2026-06-05,94,Monitor,Jakarta,1,11357941,bank_transfer,11357941
49,2026-06-03,69,Keyboard,Medan,4,10298854,cash,41195416
50,2026-06-10,101,Monitor,Medan,2,3182060,bank_transfer,6364120
51,2026-06-09,58,Keyboard,Medan,5,5637271,bank_transfer,28186355
52,2026-06-03,49,Laptop,Surabaya,5,9698697,ewallet,48493485
53,2026-06-04,48,Headset,Medan,1,3657259,ewallet,3657259
54,2026-06-11,169,Mouse,Surabaya,4,4630987,bank_transfer,18523948
55,2026-06-03,142,Mouse,Surabaya,4,12733912,ewallet,50935648
56,2026-06-04,120,Monitor,Makassar,4,7951994,ewallet,31807976
57,2026-06-11,70,Keyboard,Jakarta,4,10300290,ewallet,41201160
58,2026-06-01,22,Headset,Bandung,5,3630059,credit_card,18150295
59,2026-06-05,48,Keyboard,Surabaya,5,12129547,cash,60647735
60,2026-06-11,183,Keyboard,Jakarta,5,12526763,ewallet,62633815
61,2026-06-09,33,Monitor,Makassar,5,6707842,bank_transfer,33539210
62,2026-06-05,60,Mouse,Jakarta,4,1676025,ewallet,6704100
63,2026-06-08,129,Mouse,Medan,1,9628640,cash,9628640
64,2026-06-09,65,Keyboard,Jakarta,5,8151242,bank_transfer,40756210
65,2026-06-11,34,Headset,Makassar,2,736216,bank_transfer,1472432
66,2026-06-02,88,Laptop,Makassar,3,13927258,credit_card,41781774
67,2026-06-05,159,Mouse,Medan,5,9302977,ewallet,46514885
68,2026-06-11,189,Laptop,Makassar,5,2425402,cash,12127010
69,2026-06-07,149,Headset,Medan,5,12129264,bank_transfer,60646320
70,2026-06-11,140,Monitor,Medan,5,11090002,cash,55450010
71,2026-06-04,48,Laptop,Bandung,1,9227891,credit_card,9227891
72,2026-06-11,172,Laptop,Bandung,1,6934781,ewallet,6934781
73,2026-06-01,56,Headset,Makassar,2,2014025,credit_card,4028050
74,2026-06-01,130,Monitor,Makassar,3,13705433,ewallet,41116299
75,2026-06-04,191,Mouse,Bandung,1,12591688,ewallet,12591688
76,2026-06-08,177,Monitor,Jakarta,3,4469140,credit_card,13407420
77,2026-06-03,53,Mouse,Makassar,2,12466787,ewallet,24933574
78,2026-06-01,50,Monitor,Surabaya,3,3280642,bank_transfer,9841926
79,2026-06-09,10,Keyboard,Bandung,1,1220452,ewallet,1220452
80,2026-06-11,195,Monitor,Surabaya,4,3691209,cash,14764836
81,2026-06-10,122,Headset,Makassar,2,14439418,credit_card,28878836
82,2026-06-10,103,Monitor,Jakarta,4,13482928,cash,53931712
83,2026-06-11,136,Laptop,Makassar,2,6362422,credit_card,12724844
84,2026-06-11,13,Mouse,Medan,1,7112582,cash,7112582
85,2026-06-02,25,Mouse,Bandung,2,11781043,ewallet,23562086
86,2026-06-04,118,Monitor,Bandung,5,6040325,ewallet,30201625
87,2026-06-04,48,Laptop,Medan,4,12073275,credit_card,48293100
88,2026-06-03,38,Mouse,Bandung,1,2502228,ewallet,2502228
89,2026-06-08,60,Headset,Makassar,3,1028357,bank_transfer,3085071
90,2026-06-03,107,Keyboard,Surabaya,4,7747401,cash,30989604
91,2026-06-04,42,Laptop,Medan,2,9410405,cash,18820810
92,2026-06-02,87,Keyboard,Medan,1,3507905,credit_card,3507905
93,2026-06-11,135,Laptop,Medan,2,5532136,ewallet,11064272
94,2026-06-07,197,Mouse,Jakarta,3,3737136,credit_card,11211408
95,2026-06-01,74,Mouse,Medan,3,5666480,bank_transfer,16999440
96,2026-06-07,15,Mouse,Jakarta,4,3448331,credit_card,13793324
97,2026-06-08,160,Laptop,Jakarta,3,12878408,bank_transfer,38635224
98,2026-06-11,194,Headset,Jakarta,3,7204931,ewallet,21614793
99,2026-06-10,18,Keyboard,Makassar,3,6126390,cash,18379170
100,2026-06-02,116,Mouse,Medan,3,5110912,credit_card,15332736
101,2026-06-08,14,Laptop,Medan,1,12789795,bank_transfer,12789795
102,2026-06-10,8,Monitor,Makassar,5,9503306,bank_transfer,47516530
103,2026-06-03,195,Monitor,Surabaya,5,9692538,bank_transfer,48462690
104,2026-06-10,76,Laptop,Medan,3,10527420,cash,31582260
105,2026-06-09,49,Monitor,Bandung,3,4492850,ewallet,13478550
106,2026-06-02,119,Mouse,Jakarta,5,14174756,credit_card,70873780
107,2026-06-08,55,Mouse,Jakarta,4,5196790,cash,20787160
108,2026-06-08,195,Headset,Jakarta,3,13352313,credit_card,40056939
109,2026-06-03,171,Keyboard,Surabaya,1,6443480,credit_card,6443480
110,2026-06-01,132,Keyboard,Bandung,5,2964694,bank_transfer,14823470
111,2026-06-08,10,Laptop,Surabaya,2,5300217,credit_card,10600434
112,2026-06-11,119,Keyboard,Bandung,3,2149510,bank_transfer,6448530
113,2026-06-11,76,Mouse,Medan,4,13643878,cash,54575512
114,2026-06-01,53,Monitor,Bandung,3,10168820,cash,30506460
115,2026-06-04,129,Mouse,Medan,3,12506550,cash,37519650
116,2026-06-02,131,Keyboard,Surabaya,2,5357553,bank_transfer,10715106
117,2026-06-07,115,Keyboard,Medan,4,6297057,credit_card,25188228
118,2026-06-02,39,Monitor,Bandung,3,8558367,bank_transfer,25675101
119,2026-06-07,117,Keyboard,Medan,4,8809052,bank_transfer,35236208
120,2026-06-09,44,Headset,Makassar,1,9521564,bank_transfer,9521564
121,2026-06-03,50,Laptop,Surabaya,5,4798814,cash,23994070
122,2026-06-03,151,Headset,Jakarta,3,5226836,bank_transfer,15680508
123,2026-06-10,14,Laptop,Makassar,5,14513729,credit_card,72568645
124,2026-06-10,9,Headset,Bandung,5,11845047,credit_card,59225235
125,2026-06-07,14,Headset,Surabaya,4,12353520,ewallet,49414080
126,2026-06-06,80,Mouse,Makassar,2,7017004,bank_transfer,14034008
127,2026-06-07,110,Headset,Bandung,4,10612843,ewallet,42451372
128,2026-06-05,34,Mouse,Medan,1,1507487,credit_card,1507487
129,2026-06-03,28,Headset,Surabaya,2,3388997,credit_card,6777994
130,2026-06-07,5,Headset,Bandung,4,12513975,credit_card,50055900
131,2026-06-03,7,Mouse,Surabaya,3,11812364,credit_card,35437092
132,2026-06-10,132,Mouse,Surabaya,5,10499284,ewallet,52496420
133,2026-06-01,47,Headset,Makassar,1,8844065,cash,8844065
134,2026-06-10,67,Mouse,Jakarta,1,3407830,cash,3407830
135,2026-06-08,191,Monitor,Jakarta,2,2489281,bank_transfer,4978562
136,2026-06-05,198,Laptop,Makassar,4,14589543,ewallet,58358172
137,2026-06-04,181,Headset,Medan,3,9465225,ewallet,28395675
138,2026-06-10,141,Monitor,Bandung,5,14153503,bank_transfer,70767515
139,2026-06-07,85,Headset,Makassar,5,6180574,cash,30902870
140,2026-06-05,28,Headset,Jakarta,5,652243,credit_card,3261215
141,2026-06-02,74,Laptop,Surabaya,1,11443063,bank_transfer,11443063
142,2026-06-09,162,Keyboard,Surabaya,1,11337707,credit_card,11337707
143,2026-06-11,164,Keyboard,Makassar,3,12125776,credit_card,36377328
144,2026-06-03,62,Monitor,Bandung,2,255920,cash,511840
145,2026-06-07,12,Headset,Medan,1,6957239,bank_transfer,6957239
146,2026-06-01,194,Mouse,Medan,2,9447637,cash,18895274
147,2026-06-05,40,Laptop,Surabaya,4,9379895,ewallet,37519580
148,2026-06-08,199,Laptop,Makassar,2,9878897,credit_card,19757794
149,2026-06-02,43,Headset,Jakarta,3,6983052,cash,20949156
150,2026-06-06,150,Mouse,Bandung,1,6412716,ewallet,6412716
151,2026-06-01,154,Keyboard,Bandung,3,4914593,bank_transfer,14743779
152,2026-06-11,118,Keyboard,Jakarta,4,10348739,ewallet,41394956
153,2026-06-02,151,Keyboard,Surabaya,3,1103875,credit_card,3311625
154,2026-06-02,170,Headset,Makassar,4,8945341,ewallet,35781364
155,2026-06-06,80,Headset,Jakarta,5,12876746,credit_card,64383730
156,2026-06-09,158,Mouse,Makassar,5,11621847,ewallet,58109235
157,2026-06-06,196,Keyboard,Makassar,3,1805451,cash,5416353
158,2026-06-10,188,Keyboard,Jakarta,4,3303822,credit_card,13215288
159,2026-06-10,146,Headset,Jakarta,3,3931358,bank_transfer,11794074
160,2026-06-09,44,Keyboard,Makassar,5,13979148,credit_card,69895740
161,2026-06-10,177,Laptop,Jakarta,2,487618,credit_card,975236
162,2026-06-01,121,Mouse,Bandung,2,14691922,cash,29383844
163,2026-06-11,2,Monitor,Medan,1,5519328,bank_transfer,5519328
164,2026-06-07,121,Headset,Jakarta,4,3111438,ewallet,12445752
165,2026-06-04,17,Laptop,Jakarta,4,9166527,credit_card,36666108
166,2026-06-02,69,Headset,Makassar,1,14437009,ewallet,14437009
167,2026-06-10,59,Laptop,Makassar,5,13718650,bank_transfer,68593250
168,2026-06-09,2,Laptop,Bandung,2,6601372,cash,13202744
169,2026-06-05,38,Mouse,Jakarta,5,2613513,cash,13067565
170,2026-06-10,24,Mouse,Bandung,5,1447212,credit_card,7236060
171,2026-06-11,23,Headset,Medan,2,1154855,credit_card,2309710
172,2026-06-11,144,Monitor,Medan,1,13497841,credit_card,13497841
173,2026-06-05,194,Headset,Medan,4,5195165,cash,20780660
174,2026-06-11,17,Headset,Makassar,1,3480397,bank_transfer,3480397
175,2026-06-10,15,Mouse,Medan,3,14101495,ewallet,42304485
176,2026-06-02,19,Headset,Makassar,4,7168814,cash,28675256
177,2026-06-07,83,Laptop,Makassar,4,2070182,ewallet,8280728
178,2026-06-04,63,Keyboard,Makassar,3,7834654,bank_transfer,23503962
179,2026-06-02,194,Monitor,Makassar,5,3324946,ewallet,16624730
180,2026-06-10,142,Monitor,Medan,1,13610463,bank_transfer,13610463
181,2026-06-02,140,Keyboard,Medan,4,7149076,cash,28596304
182,2026-06-07,13,Mouse,Makassar,2,2271795,ewallet,4543590
183,2026-06-04,62,Mouse,Medan,1,729740,credit_card,729740
184,2026-06-06,66,Monitor,Jakarta,3,9170957,ewallet,27512871
185,2026-06-10,78,Laptop,Bandung,3,7859046,credit_card,23577138
186,2026-06-02,148,Keyboard,Makassar,1,4096956,ewallet,4096956
187,2026-06-09,168,Monitor,Bandung,4,361211,ewallet,1444844
188,2026-06-01,168,Headset,Jakarta,4,5010815,ewallet,20043260
189,2026-06-10,128,Keyboard,Jakarta,1,14548493,credit_card,14548493
190,2026-06-02,83,Headset,Jakarta,5,10594019,ewallet,52970095
191,2026-06-06,55,Keyboard,Medan,2,476069,credit_card,952138
192,2026-06-09,74,Mouse,Bandung,3,6985530,ewallet,20956590
193,2026-06-01,111,Headset,Makassar,1,11792094,ewallet,11792094
194,2026-06-06,54,Monitor,Jakarta,2,8529440,cash,17058880
195,2026-06-10,131,Monitor,Jakarta,3,12760586,bank_transfer,38281758
196,2026-06-06,98,Headset,Makassar,5,9168999,ewallet,45844995
197,2026-06-08,25,Mouse,Medan,4,1930412,cash,7721648
198,2026-06-07,188,Keyboard,Surabaya,3,6633486,ewallet,19900458
199,2026-06-03,143,Keyboard,Jakarta,1,8843358,cash,8843358
200,2026-06-02,51,Laptop,Medan,4,1997582,bank_transfer,7990328
201,2026-06-09,96,Laptop,Bandung,3,13221077,cash,39663231
202,2026-06-04,122,Keyboard,Bandung,1,638116,credit_card,638116
203,2026-06-09,91,Mouse,Surabaya,4,7560197,bank_transfer,30240788
204,2026-06-03,97,Headset,Surabaya,4,9063394,cash,36253576
205,2026-06-10,180,Laptop,Jakarta,4,7018743,bank_transfer,28074972
206,2026-06-05,110,Headset,Medan,2,6603241,bank_transfer,13206482
207,2026-06-07,169,Headset,Bandung,3,13398474,credit_card,40195422
208,2026-06-03,84,Mouse,Surabaya,4,2602364,ewallet,10409456
209,2026-06-04,115,Keyboard,Makassar,2,6870181,bank_transfer,13740362
210,2026-06-11,55,Mouse,Medan,3,5756639,bank_transfer,17269917
211,2026-06-01,86,Mouse,Medan,1,3447300,credit_card,3447300
212,2026-06-10,96,Keyboard,Surabaya,3,10142751,cash,30428253
213,2026-06-03,104,Headset,Medan,5,5938220,cash,29691100
214,2026-06-11,156,Mouse,Medan,5,3703655,bank_transfer,18518275
215,2026-06-01,171,Laptop,Makassar,4,5197928,ewallet,20791712
216,2026-06-03,116,Monitor,Bandung,1,9079049,ewallet,9079049
217,2026-06-07,185,Monitor,Medan,1,10665487,bank_transfer,10665487
218,2026-06-09,56,Mouse,Makassar,5,6578920,credit_card,32894600
219,2026-06-01,60,Keyboard,Makassar,2,8942693,credit_card,17885386
220,2026-06-08,156,Laptop,Medan,3,9569767,bank_transfer,28709301
221,2026-06-05,137,Mouse,Medan,1,4098301,ewallet,4098301
222,2026-06-01,165,Laptop,Makassar,5,6969220,ewallet,34846100
223,2026-06-10,131,Keyboard,Bandung,5,4176165,ewallet,20880825
224,2026-06-04,62,Mouse,Jakarta,5,9401806,credit_card,47009030
225,2026-06-04,60,Mouse,Medan,5,5510706,cash,27553530
226,2026-06-06,191,Headset,Jakarta,2,12098963,ewallet,24197926
227,2026-06-05,97,Headset,Bandung,1,14586544,credit_card,14586544
228,2026-06-01,98,Laptop,Makassar,4,11125927,cash,44503708
229,2026-06-04,98,Headset,Medan,4,2939299,ewallet,11757196
230,2026-06-02,16,Headset,Medan,3,5643377,ewallet,16930131
